B05010_001E,NAME,block group,county,state,tract
,"Block Group 2, Census Tract 5072, Wayne County, Michigan",2,163,26,507200
,"Block Group 1, Census Tract 5073, Wayne County, Michigan",1,163,26,507300
,"Block Group 2, Census Tract 5073, Wayne County, Michigan",2,163,26,507300
,"Block Group 3, Census Tract 5073, Wayne County, Michigan",3,163,26,507300
,"Block Group 1, Census Tract 5074, Wayne County, Michigan",1,163,26,507400
,"Block Group 2, Census Tract 5074, Wayne County, Michigan",2,163,26,507400
,"Block Group 3, Census Tract 5074, Wayne County, Michigan",3,163,26,507400
,"Block Group 4, Census Tract 5074, Wayne County, Michigan",4,163,26,507400
,"Block Group 1, Census Tract 5075, Wayne County, Michigan",1,163,26,507500
,"Block Group 2, Census Tract 5075, Wayne County, Michigan",2,163,26,507500
,"Block Group 3, Census Tract 5075, Wayne County, Michigan",3,163,26,507500
,"Block Group 1, Census Tract 5078, Wayne County, Michigan",1,163,26,507800
,"Block Group 2, Census Tract 5078, Wayne County, Michigan",2,163,26,507800
,"Block Group 1, Census Tract 5079, Wayne County, Michigan",1,163,26,507900
,"Block Group 2, Census Tract 5079, Wayne County, Michigan",2,163,26,507900
,"Block Group 3, Census Tract 5079, Wayne County, Michigan",3,163,26,507900
,"Block Group 4, Census Tract 5079, Wayne County, Michigan",4,163,26,507900
,"Block Group 1, Census Tract 5080, Wayne County, Michigan",1,163,26,508000
,"Block Group 2, Census Tract 5080, Wayne County, Michigan",2,163,26,508000
,"Block Group 1, Census Tract 5081, Wayne County, Michigan",1,163,26,508100
,"Block Group 2, Census Tract 5081, Wayne County, Michigan",2,163,26,508100
,"Block Group 3, Census Tract 5081, Wayne County, Michigan",3,163,26,508100
,"Block Group 4, Census Tract 5081, Wayne County, Michigan",4,163,26,508100
,"Block Group 5, Census Tract 5081, Wayne County, Michigan",5,163,26,508100
,"Block Group 1, Census Tract 5104, Wayne County, Michigan",1,163,26,510400
,"Block Group 2, Census Tract 5104, Wayne County, Michigan",2,163,26,510400
,"Block Group 3, Census Tract 5104, Wayne County, Michigan",3,163,26,510400
,"Block Group 1, Census Tract 5105, Wayne County, Michigan",1,163,26,510500
,"Block Group 2, Census Tract 5105, Wayne County, Michigan",2,163,26,510500
,"Block Group 3, Census Tract 5105, Wayne County, Michigan",3,163,26,510500
,"Block Group 4, Census Tract 5105, Wayne County, Michigan",4,163,26,510500
,"Block Group 1, Census Tract 5106, Wayne County, Michigan",1,163,26,510600
,"Block Group 2, Census Tract 5106, Wayne County, Michigan",2,163,26,510600
,"Block Group 3, Census Tract 5106, Wayne County, Michigan",3,163,26,510600
,"Block Group 1, Census Tract 5107, Wayne County, Michigan",1,163,26,510700
,"Block Group 2, Census Tract 5107, Wayne County, Michigan",2,163,26,510700
,"Block Group 1, Census Tract 5110, Wayne County, Michigan",1,163,26,511000
,"Block Group 2, Census Tract 5110, Wayne County, Michigan",2,163,26,511000
,"Block Group 3, Census Tract 5110, Wayne County, Michigan",3,163,26,511000
,"Block Group 4, Census Tract 5110, Wayne County, Michigan",4,163,26,511000
,"Block Group 1, Census Tract 5112, Wayne County, Michigan",1,163,26,511200
,"Block Group 2, Census Tract 5112, Wayne County, Michigan",2,163,26,511200
,"Block Group 1, Census Tract 5113, Wayne County, Michigan",1,163,26,511300
,"Block Group 2, Census Tract 5113, Wayne County, Michigan",2,163,26,511300
,"Block Group 3, Census Tract 5113, Wayne County, Michigan",3,163,26,511300
,"Block Group 1, Census Tract 5114, Wayne County, Michigan",1,163,26,511400
