B01003_001E,B17001_002E,NAME,county,state,tract
660,254,"Census Tract 5272, Wayne County, Michigan",163,26,527200
976,463,"Census Tract 5273, Wayne County, Michigan",163,26,527300
2250,592,"Census Tract 5301, Wayne County, Michigan",163,26,530100
4838,1875,"Census Tract 5302, Wayne County, Michigan",163,26,530200
1606,739,"Census Tract 5303, Wayne County, Michigan",163,26,530300
1332,639,"Census Tract 5304, Wayne County, Michigan",163,26,530400
2633,950,"Census Tract 5305, Wayne County, Michigan",163,26,530500
1784,803,"Census Tract 5308, Wayne County, Michigan",163,26,530800
1427,615,"Census Tract 5309, Wayne County, Michigan",163,26,530900
930,614,"Census Tract 5311, Wayne County, Michigan",163,26,531100
2899,600,"Census Tract 5312, Wayne County, Michigan",163,26,531200
1154,301,"Census Tract 5313, Wayne County, Michigan",163,26,531300
1450,484,"Census Tract 5314, Wayne County, Michigan",163,26,531400
3290,1737,"Census Tract 5315, Wayne County, Michigan",163,26,531500
1688,673,"Census Tract 5316, Wayne County, Michigan",163,26,531600
1656,792,"Census Tract 5317, Wayne County, Michigan",163,26,531700
1850,866,"Census Tract 5318, Wayne County, Michigan",163,26,531800
1173,567,"Census Tract 5319, Wayne County, Michigan",163,26,531900
1219,616,"Census Tract 5322, Wayne County, Michigan",163,26,532200
798,132,"Census Tract 5323, Wayne County, Michigan",163,26,532300
1416,755,"Census Tract 5324, Wayne County, Michigan",163,26,532400
2051,869,"Census Tract 5326, Wayne County, Michigan",163,26,532600
830,210,"Census Tract 5327, Wayne County, Michigan",163,26,532700
1521,634,"Census Tract 5330, Wayne County, Michigan",163,26,533000
1334,651,"Census Tract 5331, Wayne County, Michigan",163,26,533100
1285,399,"Census Tract 5332, Wayne County, Michigan",163,26,533200
1243,819,"Census Tract 5333, Wayne County, Michigan",163,26,533300
2731,1506,"Census Tract 5334, Wayne County, Michigan",163,26,533400
1029,423,"Census Tract 5335, Wayne County, Michigan",163,26,533500
2095,993,"Census Tract 5336, Wayne County, Michigan",163,26,533600
917,297,"Census Tract 5337, Wayne County, Michigan",163,26,533700
3298,1306,"Census Tract 5339, Wayne County, Michigan",163,26,533900
1707,743,"Census Tract 5341, Wayne County, Michigan",163,26,534100
3814,1852,"Census Tract 5342, Wayne County, Michigan",163,26,534200
1600,732,"Census Tract 5343, Wayne County, Michigan",163,26,534300
1604,797,"Census Tract 5344, Wayne County, Michigan",163,26,534400
795,341,"Census Tract 5345, Wayne County, Michigan",163,26,534500
1834,752,"Census Tract 5346, Wayne County, Michigan",163,26,534600
3056,1124,"Census Tract 5347, Wayne County, Michigan",163,26,534700
2931,1152,"Census Tract 5350, Wayne County, Michigan",163,26,535000
1626,638,"Census Tract 5351, Wayne County, Michigan",163,26,535100
2217,1020,"Census Tract 5352, Wayne County, Michigan",163,26,535200
4270,1363,"Census Tract 5353, Wayne County, Michigan",163,26,535300
1512,634,"Census Tract 5354, Wayne County, Michigan",163,26,535400
2956,1025,"Census Tract 5355, Wayne County, Michigan",163,26,535500
3890,1116,"Census Tract 5356, Wayne County, Michigan",163,26,535600
1294,527,"Census Tract 5357, Wayne County, Michigan",163,26,535700
3136,1113,"Census Tract 5361, Wayne County, Michigan",163,26,536100
2038,906,"Census Tract 5362, Wayne County, Michigan",163,26,536200
2536,885,"Census Tract 5363, Wayne County, Michigan",163,26,536300
2413,998,"Census Tract 5364, Wayne County, Michigan",163,26,536400
2408,597,"Census Tract 5365, Wayne County, Michigan",163,26,536500
2749,792,"Census Tract 5366, Wayne County, Michigan",163,26,536600
1392,737,"Census Tract 5367, Wayne County, Michigan",163,26,536700
1618,544,"Census Tract 5368, Wayne County, Michigan",163,26,536800
3336,1505,"Census Tract 5369, Wayne County, Michigan",163,26,536900
3496,1224,"Census Tract 5370, Wayne County, Michigan",163,26,537000
1886,784,"Census Tract 5371, Wayne County, Michigan",163,26,537100
758,308,"Census Tract 5372, Wayne County, Michigan",163,26,537200
2542,959,"Census Tract 5373, Wayne County, Michigan",163,26,537300
2693,949,"Census Tract 5375, Wayne County, Michigan",163,26,537500
3839,1255,"Census Tract 5376, Wayne County, Michigan",163,26,537600
2912,891,"Census Tract 5377, Wayne County, Michigan",163,26,537700
1639,515,"Census Tract 5378, Wayne County, Michigan",163,26,537800
2398,424,"Census Tract 5381, Wayne County, Michigan",163,26,538100
1947,47,"Census Tract 5382, Wayne County, Michigan",163,26,538200
1695,551,"Census Tract 5383, Wayne County, Michigan",163,26,538300
3912,350,"Census Tract 5384, Wayne County, Michigan",163,26,538400
5495,1550,"Census Tract 5385, Wayne County, Michigan",163,26,538500
5134,1706,"Census Tract 5386, Wayne County, Michigan",163,26,538600
4188,1426,"Census Tract 5387, Wayne County, Michigan",163,26,538700
1723,437,"Census Tract 5388, Wayne County, Michigan",163,26,538800
2688,619,"Census Tract 5389, Wayne County, Michigan",163,26,538900
2697,493,"Census Tract 5390, Wayne County, Michigan",163,26,539000
2035,764,"Census Tract 5391, Wayne County, Michigan",163,26,539100
3935,1067,"Census Tract 5392, Wayne County, Michigan",163,26,539200
3586,1055,"Census Tract 5393, Wayne County, Michigan",163,26,539300
3754,1032,"Census Tract 5394, Wayne County, Michigan",163,26,539400
3219,748,"Census Tract 5395, Wayne County, Michigan",163,26,539500
3329,1111,"Census Tract 5396, Wayne County, Michigan",163,26,539600
1969,512,"Census Tract 5397, Wayne County, Michigan",163,26,539700
3131,1099,"Census Tract 5401, Wayne County, Michigan",163,26,540100
3488,1631,"Census Tract 5402, Wayne County, Michigan",163,26,540200
4295,1597,"Census Tract 5403, Wayne County, Michigan",163,26,540300
2772,1483,"Census Tract 5404, Wayne County, Michigan",163,26,540400
3678,1002,"Census Tract 5405, Wayne County, Michigan",163,26,540500
3401,754,"Census Tract 5406, Wayne County, Michigan",163,26,540600
3818,1233,"Census Tract 5407, Wayne County, Michigan",163,26,540700
2332,691,"Census Tract 5408, Wayne County, Michigan",163,26,540800
3292,1006,"Census Tract 5409, Wayne County, Michigan",163,26,540900
4469,1826,"Census Tract 5410, Wayne County, Michigan",163,26,541000
2752,1527,"Census Tract 5411, Wayne County, Michigan",163,26,541100
2001,581,"Census Tract 5412, Wayne County, Michigan",163,26,541200
2670,1330,"Census Tract 5413, Wayne County, Michigan",163,26,541300
2733,969,"Census Tract 5414, Wayne County, Michigan",163,26,541400
4025,1252,"Census Tract 5415, Wayne County, Michigan",163,26,541500
2239,774,"Census Tract 5417, Wayne County, Michigan",163,26,541700
2700,754,"Census Tract 5418, Wayne County, Michigan",163,26,541800
4064,1431,"Census Tract 5421, Wayne County, Michigan",163,26,542100
3407,1157,"Census Tract 5422, Wayne County, Michigan",163,26,542200
1814,918,"Census Tract 5423, Wayne County, Michigan",163,26,542300
2320,650,"Census Tract 5424, Wayne County, Michigan",163,26,542400
2796,828,"Census Tract 5425, Wayne County, Michigan",163,26,542500
3320,1337,"Census Tract 5426, Wayne County, Michigan",163,26,542600
